Added Component: Designator=CEC1(Board To Board Connector)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Digikey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/FX10A-96S-SV/2041894"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Part Number"; Value = "H122463-ND"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=CEC1-1
Added Pin To Net: NetName=GND Pin=CEC1-2
Added Pin To Net: NetName=VBAT Pin=CEC1-A1
Added Pin To Net: NetName=3V3_uC Pin=CEC1-A2
Added Pin To Net: NetName=3V3_uC Pin=CEC1-A3
Added Pin To Net: NetName=3V3_uC Pin=CEC1-A4
Added Pin To Net: NetName=3V3_uC Pin=CEC1-A5
Added Pin To Net: NetName=PF0 Pin=CEC1-A6
Added Pin To Net: NetName=PF1 Pin=CEC1-A7
Added Pin To Net: NetName=PF2 Pin=CEC1-A8
Added Pin To Net: NetName=PF3 Pin=CEC1-A9
Added Pin To Net: NetName=PF4 Pin=CEC1-A10
Added Pin To Net: NetName=PF5 Pin=CEC1-A11
Added Pin To Net: NetName=GND Pin=CEC1-A12
Added Pin To Net: NetName=PF6 Pin=CEC1-A13
Added Pin To Net: NetName=PF7 Pin=CEC1-A14
Added Pin To Net: NetName=PF8 Pin=CEC1-A15
Added Pin To Net: NetName=PF9 Pin=CEC1-A16
Added Pin To Net: NetName=PF10 Pin=CEC1-A17
Added Pin To Net: NetName=GND Pin=CEC1-A18
Added Pin To Net: NetName=PA0 Pin=CEC1-A19
Added Pin To Net: NetName=PA1 Pin=CEC1-A20
Added Pin To Net: NetName=PA2 Pin=CEC1-A21
Added Pin To Net: NetName=PA3 Pin=CEC1-A22
Added Pin To Net: NetName=PA4 Pin=CEC1-A23
Added Pin To Net: NetName=GND Pin=CEC1-A24
Added Pin To Net: NetName=GND Pin=CEC1-A25
Added Pin To Net: NetName=GND Pin=CEC1-A26
Added Pin To Net: NetName=GND Pin=CEC1-A27
Added Pin To Net: NetName=GND Pin=CEC1-A28
Added Pin To Net: NetName=PA5 Pin=CEC1-A29
Added Pin To Net: NetName=PA6 Pin=CEC1-A30
Added Pin To Net: NetName=PA7 Pin=CEC1-A31
Added Pin To Net: NetName=PG0 Pin=CEC1-A32
Added Pin To Net: NetName=PG1 Pin=CEC1-A33
Added Pin To Net: NetName=GND Pin=CEC1-A34
Added Pin To Net: NetName=PE7 Pin=CEC1-A35
Added Pin To Net: NetName=PE8 Pin=CEC1-A36
Added Pin To Net: NetName=PE9 Pin=CEC1-A37
Added Pin To Net: NetName=PE10 Pin=CEC1-A38
Added Pin To Net: NetName=GND Pin=CEC1-A39
Added Pin To Net: NetName=PE11 Pin=CEC1-A40
Added Pin To Net: NetName=PE12 Pin=CEC1-A41
Added Pin To Net: NetName=PE13 Pin=CEC1-A42
Added Pin To Net: NetName=PE14 Pin=CEC1-A43
Added Pin To Net: NetName=3V3_uC Pin=CEC1-A44
